ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,0,0,67,2,124670,1,2
100000002,1,1,22,1,150773,1,2
100000003,0,0,49,1,89210,0,0
100000004,0,0,45,1,171565,1,1
100000005,0,0,53,1,149031,1,1
100000006,0,0,35,1,144848,0,0
100000007,0,0,53,1,156495,1,1
100000008,0,0,35,1,193621,2,1
100000009,0,1,61,2,151591,0,0
100000010,0,1,28,1,174646,2,0
100000011,1,1,25,1,108469,1,0
100000012,1,1,24,1,127596,1,0
100000013,1,1,22,1,108687,1,2
100000014,0,0,60,2,89374,0,0
100000015,1,1,28,1,102899,1,1
100000016,1,1,32,1,88428,0,0
100000017,0,0,53,1,125550,1,0
100000018,0,0,25,0,157434,1,2
100000019,1,1,44,2,261952,2,2
100000020,0,0,31,0,144657,1,1
100000021,0,0,48,1,118777,1,1
100000022,0,0,44,1,147511,1,1
100000023,0,0,48,1,89804,0,0
100000024,0,0,44,1,134918,1,2
100000025,0,1,26,1,103667,1,2
100000026,0,0,36,1,71909,0,0
100000027,0,1,39,1,68264,0,0
100000028,1,1,42,2,163025,1,1
100000029,0,0,34,1,119307,1,1
100000030,0,0,63,2,175882,1,0
100000031,0,1,36,1,159646,1,1
100000032,0,0,27,0,120131,1,1
100000033,0,0,30,0,162745,1,2
100000034,0,0,57,2,87605,0,0
100000035,1,1,33,1,155569,2,1
100000036,0,0,25,0,104505,0,0
100000037,0,0,31,0,143385,1,2
100000038,0,0,37,1,127676,1,1
100000039,0,0,37,1,119276,1,1
100000040,0,0,24,0,92542,1,1
100000041,0,0,30,0,163329,2,1
100000042,0,1,26,1,130921,1,0
100000043,0,0,44,1,133658,0,0
100000044,0,1,24,1,155104,1,1
100000045,1,1,58,2,142335,0,1
100000046,1,1,35,1,138387,2,1
100000047,0,0,39,1,140182,1,0
100000048,1,1,23,1,65421,0,0
100000049,0,0,39,1,130500,0,0
100000050,1,1,28,1,122831,1,0
100000051,0,0,29,0,84531,0,0
100000052,0,0,30,0,180196,2,2
100000053,0,0,25,0,92058,1,2
100000054,0,0,31,0,117158,1,0
100000055,0,0,57,2,135830,1,1
100000056,0,0,26,0,58258,0,0
100000057,0,0,52,1,202575,2,2
100000058,1,1,31,1,183657,1,1
100000059,1,1,23,1,152267,2,1
100000060,1,1,23,1,115240,0,0
100000061,0,1,27,1,106955,1,2
100000062,0,0,50,1,123641,1,1
100000063,0,0,61,2,166410,2,1
100000064,0,0,25,0,227385,1,2
100000065,1,1,26,1,118372,1,1
100000066,0,0,48,1,148115,1,1
100000067,1,1,29,1,111069,1,0
100000068,0,1,22,1,139780,1,0
100000069,0,0,37,1,106978,1,2
100000070,1,1,25,1,110019,1,2
100000071,1,1,30,1,169102,1,1
100000072,0,0,46,1,73703,0,0
100000073,0,0,51,1,141858,2,2
100000074,1,1,41,2,135959,0,0
100000075,0,0,40,1,140888,2,2
100000076,0,0,66,2,157299,2,2
100000077,0,0,34,1,125187,1,1
100000078,0,0,51,1,155486,1,2
100000079,0,0,39,1,151697,0,0
100000080,0,1,22,1,126400,1,1
100000081,1,1,44,2,159246,1,2
100000082,0,0,47,1,136138,1,1
100000083,1,1,24,1,84792,0,0
100000084,1,1,58,2,100210,0,0
100000085,0,0,52,1,93706,0,0
100000086,1,1,29,1,133783,2,1
100000087,1,1,27,1,110064,1,2
100000088,0,0,47,1,241068,1,1
100000089,0,0,30,0,149022,2,2
100000090,0,0,28,0,92973,1,2
100000091,0,0,56,1,110605,1,1
100000092,0,0,54,1,116604,1,1
100000093,1,1,33,1,71070,0,0
100000094,0,0,20,0,128678,1,1
100000095,0,0,54,1,165230,1,2
100000096,0,0,58,2,268340,1,1
100000097,1,1,61,2,135070,1,1
100000098,0,0,34,1,134794,1,2
100000099,0,0,36,1,120153,1,1
100000100,0,0,36,1,195465,2,2
100000101,0,1,41,1,93372,0,0
100000102,0,0,24,0,110446,1,0
100000103,1,1,24,1,95186,1,1
100000104,0,0,35,1,115343,1,1
100000105,0,1,26,1,107276,1,1
100000106,0,0,39,1,244716,2,2
100000107,0,0,39,1,183108,2,2
100000108,0,0,32,0,152876,1,2
100000109,1,1,30,1,165147,1,0
100000110,0,1,35,1,140520,1,0
100000111,0,1,31,1,124203,1,1
100000112,1,1,23,1,107205,1,1
100000113,0,0,28,0,121432,0,2
100000114,1,1,25,1,162445,1,0
100000115,0,1,35,1,134112,1,1
100000116,0,0,47,1,131842,1,1
100000117,1,1,30,1,189896,2,0
100000118,1,1,27,1,109099,1,2
100000119,1,1,23,1,153539,1,1
100000120,0,1,36,1,180495,2,1
100000121,1,1,25,1,104653,1,2
100000122,1,1,41,2,166933,2,2
100000123,0,0,24,0,66118,0,0
100000124,0,0,63,2,135754,1,0
100000125,1,1,27,1,116103,1,2
100000126,0,0,30,0,104293,1,1
100000127,0,1,40,1,71702,0,0
100000128,0,0,30,0,99066,1,2
100000129,0,0,34,1,143979,2,2
100000130,1,1,29,1,123818,1,0
100000131,1,1,24,1,176714,1,2
100000132,0,0,29,0,149249,1,2
100000133,0,0,27,0,77535,0,0
100000134,0,0,47,1,116540,1,1
100000135,1,1,21,1,194728,1,0
100000136,1,1,38,1,109311,1,2
100000137,0,0,27,0,204723,1,2
100000138,0,0,66,2,126003,0,0
100000139,0,0,35,1,123109,1,1
100000140,1,1,44,2,108251,0,0
100000141,0,1,27,1,89908,0,0
100000142,1,1,30,1,176057,2,1
100000143,0,0,27,0,144332,2,2
100000144,0,0,22,0,101185,1,1
100000145,1,1,23,1,107406,1,2
100000146,0,0,30,0,140665,1,1
100000147,1,1,39,2,106461,1,0
100000148,1,1,51,2,127825,1,0
100000149,0,0,28,0,133898,1,1
100000150,0,0,46,1,152383,1,2
100000151,0,0,42,1,119926,1,0
100000152,0,0,38,1,108784,1,2
100000153,0,0,24,0,153286,1,1
100000154,1,1,29,1,214204,1,2
100000155,0,0,36,1,208101,2,2
100000156,1,1,20,1,95355,1,1
100000157,0,0,48,1,124156,1,1
100000158,0,1,45,2,72215,0,0
100000159,0,0,38,1,146529,1,2
100000160,0,0,34,1,75343,0,0
100000161,0,0,36,1,129789,1,1
100000162,1,1,30,1,101153,1,1
100000163,0,0,36,1,127833,1,2
100000164,0,0,70,2,224998,2,2
100000165,0,0,36,1,124445,1,2
100000166,0,0,32,0,141116,1,1
100000167,1,1,33,1,104276,1,2
100000168,1,1,20,1,147687,1,2
100000169,1,1,25,1,125168,1,1
100000170,0,1,31,1,115369,1,2
100000171,0,0,33,1,95445,1,0
100000172,1,1,26,1,95159,1,1
100000173,1,1,34,1,153031,2,2
100000174,0,0,33,1,108899,1,0
100000175,0,0,26,0,113515,1,1
100000176,1,1,53,2,211229,2,0
100000177,0,1,42,2,121307,1,0
100000178,0,0,52,1,131727,1,2
100000179,0,0,31,0,133574,2,1
100000180,0,0,65,2,117334,1,0
100000181,0,1,28,1,177291,1,2
100000182,0,1,30,1,168763,2,1
100000183,0,0,40,1,77720,0,0
100000184,0,0,50,1,176645,1,2
100000185,0,0,36,1,106205,1,1
100000186,0,0,31,0,97785,1,1
100000187,1,1,74,3,214364,2,1
100000188,0,0,68,2,74525,0,0
100000189,0,1,20,1,98988,1,0
100000190,1,1,33,1,133561,1,1
100000191,0,0,54,1,217651,2,2
100000192,0,0,34,1,116525,0,0
100000193,0,0,36,1,135302,1,2
100000194,0,1,29,1,106434,1,1
100000195,0,0,21,0,128350,1,2
100000196,1,1,34,1,147626,2,2
100000197,1,1,28,1,102697,1,0
100000198,1,1,27,1,120262,1,0
100000199,0,0,36,1,124214,1,2
100000200,0,1,40,1,175223,2,1
100000201,0,0,52,1,137467,1,0
100000202,0,1,27,1,65815,0,0
100000203,0,0,26,0,129864,1,1
100000204,0,1,21,1,88475,1,1
100000205,0,0,38,1,74666,0,0
100000206,0,0,38,1,222294,2,2
100000207,0,0,43,1,112878,1,0
100000208,0,0,26,0,103411,1,2
100000209,0,1,21,1,112868,0,0
100000210,0,0,55,1,157940,1,2
100000211,0,0,33,1,115835,1,2
100000212,1,1,45,2,109807,0,0
100000213,0,0,50,1,150699,1,1
100000214,0,0,66,2,178967,2,0
100000215,0,0,51,1,132767,1,0
100000216,1,1,39,2,86152,0,0
100000217,0,0,31,0,114528,1,2
100000218,0,0,23,0,133912,1,1
100000219,0,1,24,1,81210,0,0
100000220,1,1,64,3,131242,1,0
100000221,0,1,26,1,68804,0,0
100000222,1,1,23,1,96961,1,1
100000223,0,0,30,0,90719,1,2
100000224,0,0,32,0,114116,1,1
100000225,0,0,30,0,128639,1,1
100000226,0,0,27,0,106623,1,1
100000227,0,0,27,0,236264,1,1
100000228,0,0,53,1,207783,2,1
100000229,0,0,22,0,91739,1,1
100000230,0,0,22,0,107780,1,2
100000231,0,0,26,0,139157,1,2
100000232,0,0,51,1,121751,0,0
100000233,0,0,35,1,121974,1,0
100000234,0,1,25,1,70320,0,0
100000235,0,0,42,1,78327,0,0
100000236,0,0,30,0,131433,2,0
100000237,0,0,23,0,167076,0,2
100000238,0,1,61,2,130788,0,0
100000239,1,1,35,1,107408,1,1
100000240,0,0,39,1,115323,1,1
100000241,1,1,29,1,99012,1,0
100000242,0,0,51,1,115996,1,1
100000243,0,0,24,0,123353,1,1
100000244,1,1,27,1,100008,1,0
100000245,1,1,35,1,125105,0,0
100000246,0,0,25,0,92020,1,2
100000247,0,0,52,1,108365,1,2
100000248,0,0,35,1,112979,1,0
100000249,0,0,26,0,117221,1,1
100000250,1,1,22,1,88800,1,2
100000251,1,1,39,2,115099,0,0
100000252,1,1,46,2,113399,0,0
100000253,1,1,24,1,115879,1,1
100000254,0,0,35,1,141270,1,2
100000255,0,0,24,0,107633,1,1
100000256,0,0,27,0,131751,0,0
100000257,0,0,35,1,83687,0,0
100000258,0,1,29,1,106828,1,2
100000259,1,1,23,1,135537,1,1
100000260,1,1,57,2,107142,0,0
100000261,0,0,27,0,97446,1,1
100000262,1,1,55,2,126357,1,2
100000263,0,0,36,1,169617,2,1
100000264,1,1,57,2,108945,0,0
100000265,0,0,32,0,67345,0,0
100000266,0,0,37,1,106215,1,0
100000267,0,0,36,1,149237,1,0
100000268,1,1,38,1,112124,1,0
100000269,0,1,45,2,215150,2,2
100000270,0,0,25,0,89534,1,1
100000271,0,0,32,0,111082,1,2
100000272,1,1,37,1,137069,1,1
100000273,0,0,36,1,244541,2,2
100000274,0,0,28,0,120712,1,1
100000275,0,1,34,1,175367,0,0
100000276,0,0,32,0,111418,1,1
100000277,1,1,26,1,110913,1,0
100000278,0,1,49,2,84267,0,0
100000279,1,1,32,1,136886,1,2
100000280,0,0,29,0,144884,2,2
100000281,0,0,23,0,151180,1,1
100000282,0,0,50,1,114997,1,1
100000283,0,0,49,1,100961,0,0
100000284,0,0,63,2,124849,1,2
100000285,0,1,37,1,152308,1,2
100000286,1,1,35,1,167945,0,1
100000287,0,0,26,0,126706,1,2
100000288,0,0,31,0,210017,2,2
